Call ID,Date Time,Agent ID,Agent State,Call Type,Service,Answer Time,avg talking time,Call Fwd,FWD Agent,disconnected code,disconnect time,Survey Opted,Customer FB,resolved
CID-00001,2026-02-11T11:31:56Z,1013,0,1,4,51,359,Yes,1002.0,1,2026-02-11T11:38:46Z,No,,N
CID-00002,2026-02-08T10:13:19Z,1008,0,1,1,26,308,Yes,1005.0,1,2026-02-08T10:18:53Z,Yes,2.0,Y
CID-00003,2026-02-08T17:36:36Z,1005,0,1,2,22,304,Yes,1010.0,1,2026-02-08T17:42:02Z,Yes,0.0,Y
CID-00004,2026-02-21T04:34:16Z,1006,0,4,2,33,171,Yes,1015.0,1,2026-02-21T04:37:40Z,Yes,3.0,N
CID-00005,2026-02-06T02:25:18Z,1002,0,2,5,42,296,Yes,1013.0,1,2026-02-06T02:30:56Z,Yes,1.0,Y
CID-00006,2026-02-06T23:16:33Z,1012,0,4,10,28,469,Yes,1009.0,1,2026-02-06T23:24:50Z,Yes,0.0,N
CID-00007,2026-02-04T01:29:13Z,1014,4,2,3,31,126,No,,1,2026-02-04T01:31:50Z,Yes,5.0,Y
CID-00008,2026-02-15T12:07:03Z,1003,10,1,4,18,410,No,,1,2026-02-15T12:14:11Z,Yes,2.0,Y
CID-00009,2026-02-07T23:00:24Z,1011,0,2,10,10,409,Yes,1009.0,1,2026-02-07T23:07:23Z,No,,N
CID-00010,2026-02-16T06:37:21Z,1006,0,4,3,31,30,Yes,1014.0,1,2026-02-16T06:38:22Z,No,,Y
CID-00011,2026-02-24T23:27:16Z,1008,2,2,1,14,359,No,,1,2026-02-24T23:33:29Z,No,,Y
CID-00012,2026-02-18T06:32:17Z,1011,4,2,10,21,236,No,,1,2026-02-18T06:36:34Z,Yes,4.0,N
CID-00013,2026-02-04T04:42:32Z,1010,0,5,10,47,237,Yes,1014.0,1,2026-02-04T04:47:16Z,Yes,0.0,Y
CID-00014,2026-02-18T10:07:15Z,1007,0,1,3,24,308,Yes,1002.0,1,2026-02-18T10:12:47Z,No,,Y
CID-00015,2026-02-28T18:57:43Z,1011,0,2,4,17,18,Yes,1009.0,57,2026-02-28T18:58:18Z,,,Y
CID-00016,2026-02-26T19:53:18Z,1009,1,1,5,11,309,No,,1,2026-02-26T19:58:38Z,No,,Y
CID-00017,2026-02-04T14:40:08Z,1003,13,1,5,14,466,No,,1,2026-02-04T14:48:08Z,Yes,5.0,N
CID-00018,2026-02-07T23:08:08Z,1013,0,1,2,37,104,Yes,1006.0,1,2026-02-07T23:10:29Z,No,,Y
CID-00019,2026-02-06T08:46:37Z,1005,4,4,1,49,241,No,,1,2026-02-06T08:51:27Z,Yes,2.0,Y
CID-00020,2026-02-26T04:21:56Z,1011,10,1,5,54,11,No,,57,2026-02-26T04:23:01Z,,,N
CID-00021,2026-02-22T08:24:30Z,1001,2,2,2,48,375,No,,1,2026-02-22T08:31:33Z,No,,N
CID-00022,2026-02-15T23:46:02Z,1006,4,4,2,59,112,No,,1,2026-02-15T23:48:53Z,Yes,4.0,N
CID-00023,2026-02-07T08:02:02Z,1005,3,1,1,57,176,No,,1,2026-02-07T08:05:55Z,No,,Y
CID-00024,2026-02-02T19:08:09Z,1013,0,1,2,32,38,Yes,1007.0,1,2026-02-02T19:09:19Z,No,,Y
CID-00025,2026-02-08T00:48:43Z,1011,2,5,5,39,457,No,,1,2026-02-08T00:56:59Z,No,,N
CID-00026,2026-02-16T00:43:18Z,1013,13,5,4,47,5,No,,57,2026-02-16T00:44:10Z,,,N
CID-00027,2026-02-26T21:34:30Z,1001,0,1,5,38,291,Yes,1007.0,1,2026-02-26T21:39:59Z,No,,Y
CID-00028,2026-02-08T13:12:30Z,1001,13,2,5,42,393,No,,1,2026-02-08T13:19:45Z,No,,N
CID-00029,2026-02-19T20:22:47Z,1008,2,4,5,22,344,No,,1,2026-02-19T20:28:53Z,No,,N
CID-00030,2026-02-08T22:53:50Z,1014,0,4,10,25,327,Yes,1006.0,1,2026-02-08T22:59:42Z,No,,Y
CID-00031,2026-02-03T05:49:33Z,1012,4,1,1,19,119,No,,1,2026-02-03T05:51:51Z,No,,Y
CID-00032,2026-02-22T23:02:39Z,1001,0,2,10,43,457,Yes,1008.0,1,2026-02-22T23:10:59Z,No,,Y
CID-00033,2026-02-22T12:04:48Z,1006,0,5,1,35,228,Yes,1003.0,1,2026-02-22T12:09:11Z,Yes,4.0,N
CID-00034,2026-02-16T13:21:53Z,1008,0,1,1,55,276,Yes,1005.0,1,2026-02-16T13:27:24Z,No,,Y
CID-00035,2026-02-11T01:11:21Z,1015,9,5,2,26,495,No,,1,2026-02-11T01:20:02Z,Yes,0.0,N
CID-00036,2026-02-04T23:56:42Z,1011,0,2,2,53,246,Yes,1006.0,1,2026-02-05T00:01:41Z,No,,N
CID-00037,2026-02-06T12:49:53Z,1001,3,2,2,58,70,No,,1,2026-02-06T12:52:01Z,Yes,3.0,Y
CID-00038,2026-02-07T04:23:02Z,1009,0,1,1,31,484,Yes,1013.0,1,2026-02-07T04:31:37Z,No,,N
CID-00039,2026-02-27T19:13:12Z,1010,4,2,4,31,418,No,,1,2026-02-27T19:20:41Z,Yes,0.0,N
CID-00040,2026-02-13T14:32:14Z,1001,4,5,10,16,246,No,,1,2026-02-13T14:36:36Z,Yes,4.0,N
CID-00041,2026-02-13T08:23:29Z,1013,0,2,1,60,3,Yes,1001.0,57,2026-02-13T08:24:32Z,,,Y
