Access Levels,AgentState,Application Gateway: Fault Tolerance,Client Type,Customer Options Type,Days,Dialed Number Map: ANIWildCardType,Dialer Detail: CallResult,Dialer Detail: CallStatusZone,Dialer Detail: DialingMode,Event Fields,ICR Locks Fields,LabelType Fields,Logical Interface Controller Fields,Network Vru Type,Port Status,Route Call Detail Fields (TargetType),Router Error Codes,Object Types: Security,Object Types: User Variable,Peripheral Real Time Status Field,Reason Codes,Service Fields (ServiceLevelType),Service Real Time: Service Mode Indicator Field,Target Types: Script Cross Reference and Scheduled Report Input,Termination Call Detail: Call Disposition,Termination Call Detail: CallDispositionFlag Fields,Termination Call Detail: Peripheral Call Type,Trunk Type
10,7,0,3,50,32,3,10,F,1,5,0,2,41,2,320,2,64,5,2,4,50002,2,2,7,13,1,32,1
10,9,3,5,1,1,0,10,P,1,0,2,3,13,2,330,0,64,1,3,3,50020,1,6,3,13,1,32,3
10,9,1,8,50,8,1,2,J,2,5,0,3,13,3,310,2,64,2,1,3,50002,2,6,2,1,1,1,1
10,3,3,13,2,1,5,2,B,3,2,0,2,13,10,350,2,64,2,2,3,50003,1,1,7,1,1,1,4
10,5,2,25,50,1,1,26,A,1,5,0,1,13,1,290,0,448,5,3,3,50002,0,1,3,1,1,32,1
30,0,2,25,50,1,2,26,S,8,1,2,2,2,10,370,2,66,5,1,4,50002,2,6,7,13,1,32,4
20,5,2,2,50,2,4,26,L,2,2,2,2,1,1,360,3,63,3,2,3,50003,2,2,1,52,2,1,2
20,0,3,3,2,4,5,10,B,3,0,0,3,41,1,300,3,62,5,3,2,50020,2,6,3,1,1,1,4
20,4,2,8,50,1,2,8,F,3,2,2,2,13,3,310,2,64,5,3,2,50004,2,1,3,13,3,1,3
30,3,2,30,50,32,4,3,X,3,0,0,2,2,2,350,2,62,4,2,3,50004,0,1,7,13,3,32,4
10,2,3,1,50,2,2,8,D,2,2,2,3,2,3,370,5,62,4,2,1,50042,1,6,7,13,3,4,2
10,13,2,13,1,2,4,8,C,8,5,2,0,1,3,360,5,63,1,1,1,50004,2,1,1,13,3,1,3
20,2,1,30,2,8,1,10,S,2,0,0,3,1,2,300,2,448,2,1,3,50002,2,6,1,1,3,32,3
30,13,2,25,1,4,2,26,S,1,0,0,0,41,1,350,2,66,4,3,3,50003,2,6,7,52,3,1,2
10,2,2,2,1,64,1,26,X,2,1,2,2,41,3,360,2,64,1,2,4,50042,2,2,1,1,1,4,3
30,11,3,1,50,64,5,3,D,3,1,2,0,13,3,340,2,66,1,1,4,50042,0,2,7,1,2,4,4
30,14,3,8,2,1,3,8,S,8,5,2,2,41,10,320,3,65,2,3,2,50004,0,1,7,1,2,1,1
30,6,1,3,1,32,1,8,S,1,0,0,3,41,10,290,5,65,4,3,1,50002,0,2,2,13,2,4,4
10,0,2,2,2,4,2,10,B,8,2,2,2,41,2,320,5,64,4,3,4,50042,1,1,1,52,2,4,2
30,6,1,25,2,2,2,2,R,2,1,0,2,1,10,350,5,448,5,3,4,50004,0,2,3,1,1,32,4
20,13,2,4,2,4,0,26,M,1,2,2,0,1,10,340,5,66,2,1,4,50020,2,1,1,13,2,32,2
30,12,0,2,1,1,0,10,J,2,5,2,1,2,1,370,5,448,2,2,4,50003,1,2,1,52,1,32,4
30,8,0,8,2,8,4,26,J,8,2,2,3,2,2,350,0,64,3,2,4,50042,2,2,2,1,3,32,3
30,11,2,8,2,4,3,10,M,2,1,2,3,2,10,340,2,65,3,2,1,50002,1,2,1,1,3,1,4
20,8,0,1,1,8,1,2,L,3,2,0,1,2,3,290,5,65,2,2,2,50003,2,1,1,1,1,4,2
20,14,1,8,2,64,5,10,R,8,1,2,3,41,1,290,3,62,3,1,1,50004,0,6,3,13,2,32,3
30,4,2,8,50,4,3,8,C,2,1,2,0,13,1,290,0,64,5,3,3,50020,0,6,3,1,1,4,1
10,7,1,8,2,4,2,3,D,1,0,0,0,41,1,320,2,62,1,3,1,50003,1,2,1,52,1,1,4
10,14,2,5,2,8,3,2,A,3,2,2,2,1,10,300,2,63,2,3,2,50004,2,2,2,13,3,32,3
30,6,3,1,1,64,3,26,D,8,2,0,2,13,2,290,5,63,2,1,2,50042,2,6,1,52,3,4,2
20,12,2,1,2,64,5,26,A,3,1,2,2,41,2,320,0,66,5,3,4,50004,2,1,3,52,2,1,1
20,1,0,3,50,64,3,3,J,2,0,0,0,41,2,310,3,64,3,1,2,50004,0,2,3,13,3,4,4
20,10,1,8,1,64,1,2,F,8,1,0,1,1,3,350,0,448,3,1,2,50004,0,6,3,52,2,4,1
30,12,3,25,50,4,1,8,A,3,5,2,0,2,1,310,0,66,2,1,4,50042,2,1,7,1,3,32,3
